Dimensão,Categoria,Quantidade,Percentual
Fonte de log (logsource),application,11,22.0%
Fonte de log (logsource),file_event,4,8.0%
Fonte de log (logsource),windows (genérico),3,6.0%
Fonte de log (logsource),zeek (genérico),3,6.0%
Fonte de log (logsource),process_creation,3,6.0%
Fonte de log (logsource),dns,2,4.0%
Fonte de log (logsource),bitbucket (genérico),1,2.0%
Fonte de log (logsource),database,1,2.0%
Fonte de log (logsource),file_delete,1,2.0%
Fonte de log (logsource),proxy,1,2.0%
Fonte de log (logsource),registry_event,1,2.0%
Fonte de log (logsource),github (genérico),1,2.0%
Fonte de log (logsource),azure (genérico),1,2.0%
Fonte de log (logsource),kubernetes (genérico),1,2.0%
Fonte de log (logsource),antivirus,1,2.0%
Fonte de log (logsource),m365 (genérico),1,2.0%
Fonte de log (logsource),ps_module,1,2.0%
Fonte de log (logsource),pipe_created,1,2.0%
Fonte de log (logsource),create_remote_thread,1,2.0%
Fonte de log (logsource),image_load,1,2.0%
Fonte de log (logsource),outras (10 categorias),10,20.0%
Tática MITRE ATT&CK,initial-access,15,30.0%
Tática MITRE ATT&CK,privilege-escalation,12,24.0%
Tática MITRE ATT&CK,stealth,11,22.0%
Tática MITRE ATT&CK,execution,11,22.0%
Tática MITRE ATT&CK,persistence,9,18.0%
Tática MITRE ATT&CK,command-and-control,5,10.0%
Tática MITRE ATT&CK,credential-access,5,10.0%
Tática MITRE ATT&CK,outras (7 categorias),13,26.0%
Severidade (level),medium,30,60.0%
Severidade (level),high,16,32.0%
Severidade (level),critical,2,4.0%
Severidade (level),low,2,4.0%
